approach,nx,ny,dofs,num_cells,iterations,residual,time_total,time_total_repeats,time_SNESFunctionEval,time_MatAssemblyEnd,time_PCSetUp,time_SNESJacobianEval,time_PCApply,time_KSPSolve,time_SNESSolve,time_MatMult,time_MatAssemblyBegin,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_PCSetUp,mflops_PCSetUp,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_PCApply,mflops_PCApply,flops_KSPSolve,mflops_KSPSolve,flops_SNESSolve,mflops_SNESSolve,flops_MatMult,mflops_MatMult,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_total,mem_rss_peak_kb,mem_rss_delta_kb,backend,repeats
GMRES + ILU PC,12,12,4394,10368,12,0.06442201654384898,0.0262125259999569,0.0786375779998707,0.006115852000000199,0.00018905200000052247,0.002539283000000836,0.020264957000000194,0.0018813690000003547,0.00429463000000041,0.03334894899999963,0.0015276739999987576,4.305000000925929e-06,15178752.0,2481.870391892987,0.0,0.0,3803955.0,1498.0429514940822,40309056.0,1989.1014819325605,8893170.0,4726.967437009073,22071591.0,5139.346346483374,81389718.0,2440.5482163771007,8209080.0,5373.581012707342,0.0,0.0,179855322.0,327656.0,1920.0,events,3
Scale-Splitting GMRES,12,12,4394,10368,4,0.018282971477734947,0.07115286066679498,0.21345858200038492,0.006403573000000051,0.00041116800000029485,0.08851787700000013,0.020478629000000304,0.013023584000003474,0.014442895000000178,0.16615122700000118,0.00128269999999997,4.188999997545295e-06,15178752.0,2370.3566743128995,0.0,0.0,42799104.0,483.5080262939422,40309056.0,1968.3473927868608,25722870.0,1975.0991739288615,29316015.0,2029.7880030284539,131348763.0,790.5374240781205,3574995.0,2787.085834567774,0.0,0.0,288249555.0,352616.0,9216.0,events,3
Scale-Splitting GMRES + ILU PC,12,12,4394,10368,4,0.018282948731976986,0.09518361966668938,0.28555085900006816,0.006837001000000065,0.00042608599999471863,0.09605298100000059,0.021271723999999992,0.010674138999999805,0.011726345000000471,0.13741948200000031,0.004749775000004952,4.670000001816277e-06,15178752.0,2220.0891882273904,0.0,0.0,42799104.0,445.5780919490644,40309056.0,1894.9595246722838,64278360.0,6021.877736462039,67871505.0,5787.950550661547,166933851.0,1214.775725904713,22695873.0,4778.304867067669,0.0,0.0,420066501.0,355112.0,1920.0,events,3
Monolithic LU with MUMPS,12,12,4394,10368,1,0.0,0.05436227200001061,0.16308681600003183,0.006265729999999081,0.0002046989999966442,0.08121988900000066,0.021253736000001133,0.004831990999999647,0.004861815999999131,0.11369553500000062,0.0,3.840999999837891e-06,15178752.0,2422.5033635350114,0.0,0.0,6358344.0,78.28555392386646,40309056.0,1896.5633147978244,10176204.0,2106.006406055132,10176204.0,2093.0870275637376,72048720.0,633.6987639839999,0.0,0.0,0.0,0.0,154247280.0,368552.0,0.0,events,3
GMRES,16,16,9826,24576,750,0.0005216337014697503,0.15226033900004646,0.4567810170001394,0.007232648000000452,0.00040863400000024086,3.439999991527998e-07,0.04245998399999973,0.0058717240000047966,0.33582289900000006,0.38570800799999994,0.2256517899999988,4.715000000210523e-06,35979264.0,4974.563119897132,0.0,0.0,0.0,0.0,95882112.0,2258.175886265068,0.0,0.0,2707383558.0,8061.938498124869,2839303890.0,7361.278042223071,1221051564.0,5411.220376315235,0.0,0.0,6899600388.0,368552.0,0.0,events,3
GMRES + ILU PC,16,16,9826,24576,15,0.11191998722175321,0.04717250633348158,0.14151751900044474,0.007389227999999193,0.0005103839999893722,0.005054877000000957,0.043300793000000226,0.005879679999996057,0.013569096000001224,0.06958753700000031,0.005061199999998323,7.4489999999372e-06,35979264.0,4869.150606802758,0.0,0.0,10024215.0,1983.0779265248398,95882112.0,2214.32692930126,25241376.0,4292.984652228851,65412438.0,4820.692402794858,207356985.0,2979.8006071115733,23663790.0,4675.529518692769,0.0,0.0,463560180.0,370088.0,1536.0,events,3
Scale-Splitting GMRES,16,16,9826,24576,4,0.035640915927347284,0.1384697093332458,0.4154091279997374,0.006585801999998253,0.0009574190000023464,0.1018429249999997,0.04176521899999841,0.0460182030000027,0.050873557999999264,0.346777522,0.0044325140000101015,4.924999997157897e-06,35979264.0,5463.156043866722,0.0,0.0,101449728.0,996.1391819804892,95882112.0,2295.7406735974173,92178510.0,2003.0879954176958,100404879.0,1973.6162153235173,345702093.0,996.8987926501187,8245479.0,1860.226273392754,0.0,0.0,779842065.0,437480.0,22464.0,events,3
Scale-Splitting GMRES + ILU PC,16,16,9826,24576,4,0.03564088768312702,0.08181855833330094,0.24545567499990284,0.006438875999998928,0.000813391000011876,0.100721548000001,0.041602868000000015,0.02794028200000298,0.02965198999999963,0.1809140179999993,0.012388641999981687,4.467000003671728e-06,35979264.0,5587.817501067887,0.0,0.0,101449728.0,1007.2296347152944,95882112.0,2304.6995702315517,195580695.0,6999.9542237969945,203807064.0,6873.301387191975,439141026.0,2427.3465973211746,63590340.0,5132.954846874582,0.0,0.0,1135430229.0,442472.0,4800.0,events,3
Monolithic LU with MUMPS,16,16,9826,24576,1,0.0,0.16250326833323925,0.48750980499971774,0.006576650000001294,0.00042147599999964314,0.3591158950000004,0.04180898700000135,0.01279670899999985,0.012830543999999833,0.4204305589999997,0.0,4.309999999563274e-06,35979264.0,5470.758516873017,0.0,0.0,22940892.0,63.88158340916649,95882112.0,2293.3373630888714,31636188.0,2472.21281659217,31636188.0,2465.693426560901,186497412.0,443.58671844308094,0.0,0.0,0.0,0.0,404572056.0,522152.0,5184.0,events,3
GMRES,20,20,18522,48000,1068,0.0005441318873029862,0.3983144093332764,1.194943227999829,0.008617451000000997,0.0007466550000057026,3.12000000946e-07,0.08229220200000142,0.018183488000049763,0.9970500570000009,1.0882041420000022,0.6376635649998991,4.902999997113966e-06,70272000.0,8154.615558590571,0.0,0.0,0.0,0.0,187683264.0,2280.6931815969238,0.0,0.0,7308421968.0,7330.04518347868,7566488364.0,6953.18835130843,3342506934.0,5241.803228949625,0.0,0.0,18475372530.0,522152.0,0.0,events,3
GMRES + ILU PC,20,20,18522,48000,17,0.3526657642424183,0.07645116766646727,0.22935350299940183,0.008450895999999375,0.0006999600000163753,0.008958208000002799,0.08094812500000259,0.011666220999973831,0.026142869000000957,0.1247534090000002,0.010371591000005509,5.10199998515759e-06,70272000.0,8315.331297415705,0.0,0.0,20825115.0,2324.6965241255275,187683264.0,2318.5622149987294,54546804.0,4675.618951511578,145070049.0,5549.125040560571,423961560.0,3398.396592112359,51516426.0,4967.07072231952,0.0,0.0,953875218.0,522152.0,0.0,events,3
Scale-Splitting GMRES,20,20,18522,48000,4,0.055696753537938584,0.33529306433320016,1.0058791929996005,0.00847162899999887,0.0017882570000118392,0.13570696499999713,0.0800865560000047,0.09601268699999821,0.10576234299999854,0.8993253849999974,0.0077890769999946485,7.1650000137424286e-06,70272000.0,8294.980811837884,0.0,0.0,198144000.0,1460.0871812290857,187683264.0,2343.505244500575,214643550.0,2235.574867308984,230376807.0,2178.249842668512,717586005.0,797.915878911838,15840027.0,2033.6205432313589,0.0,0.0,1634545653.0,561896.0,29568.0,events,3
Scale-Splitting GMRES + ILU PC,20,20,18522,48000,4,0.05569673526404191,0.13528913733322648,0.40586741199967946,0.008386562000001874,0.0016570129999919914,0.13361818099999923,0.0801973779999976,0.07097225400000085,0.07607598900000312,0.3019120430000024,0.03062636900001081,6.604000002852217e-06,70272000.0,8379.118880893542,0.0,0.0,198144000.0,1482.9119698912916,187683264.0,2340.266835157698,474439578.0,6684.859945409009,490172835.0,6443.200298059614,950451309.0,3148.1066457491147,143756943.0,4693.894434562231,0.0,0.0,2514919929.0,569000.0,7104.0,events,3
Monolithic LU with MUMPS,20,20,18522,48000,1,0.0,0.4769453636666488,1.4308360909999465,0.008481454000005328,0.0006873540000036371,1.2051614489999949,0.07953240400000183,0.03171021200000368,0.031747160999998414,1.3250471429999955,0.0,5.041999994404023e-06,70272000.0,8285.37182421267,0.0,0.0,62779692.0,52.09234999351549,187683264.0,2359.8339112193275,82033452.0,2586.9726761836373,82033452.0,2583.9618226021566,402879540.0,304.0492122324446,0.0,0.0,0.0,0.0,887681400.0,738728.0,2496.0,events,3
GMRES,32,32,71874,196608,2439,0.0005577215235302833,5.829560563666746,17.488681691000238,0.020122686999997086,0.006121721999981844,2.7000000812904545e-07,0.3310144940000015,0.29010731500005005,16.782735423,17.13626989500001,11.78616905800007,9.350000013341742e-06,287834112.0,14303.960102348245,0.0,0.0,0.0,0.0,771417216.0,2330.4635597013967,0.0,0.0,65778950661.0,3919.4415572358275,66838633233.0,3900.4190318280444,30501802800.0,2587.931892873738,0.0,0.0,164178638022.0,820152.0,30720.0,events,3
GMRES + ILU PC,32,32,71874,196608,26,0.6030730302868195,0.35315073933331104,1.059452217999933,0.01937695200000178,0.004585714000114649,0.042498373999990235,0.33215756900001736,0.13352450600005739,0.316339408999994,0.7112174429999953,0.1316050970000049,9.66099996446701e-06,287834112.0,14854.45760509566,0.0,0.0,93349095.0,2196.5333308992354,771417216.0,2322.443587007225,326805030.0,2447.528470914991,973347294.0,3076.9081129566707,2126378961.0,2989.773355432192,314701140.0,2391.2534329881487,0.0,0.0,4893832848.0,997368.0,33984.0,events,3
Scale-Splitting GMRES,32,32,71874,196608,4,0.12758218695835585,2.431468655999803,7.29440596799941,0.019648967000009065,0.010003976999996667,0.414337462000006,0.33933415999999283,0.5934956450000328,0.6222967900000107,6.938617176000008,0.031671340999977815,1.4512999925386794e-05,287834112.0,14648.81650011765,0.0,0.0,811597824.0,1958.784561942382,771417216.0,2273.326139637743,1474129590.0,2483.8086048633404,1536560535.0,2469.1763796499313,3654539835.0,526.6957006420087,63275895.0,1997.8912481174802,0.0,0.0,8599355007.0,1579896.0,18432.0,events,3
Scale-Splitting GMRES + ILU PC,32,32,71874,196608,4,0.12758215212520158,0.5544984483334096,1.6634953450002286,0.01956759499998384,0.00993254200005822,0.33067063500000415,0.33686832600000116,0.5856199019999906,0.6116779519999938,1.3142094610000044,0.22373223900014239,1.494299996807058e-05,287834112.0,14709.73372048214,0.0,0.0,811597824.0,2454.399447958207,771417216.0,2289.9666025591177,3332581503.0,5690.690312297572,3395012448.0,5550.326666016621,5284451754.0,4021.011802775313,877622253.0,3922.6454663936097,0.0,0.0,14760517110.0,1579896.0,0.0,events,3
Monolithic LU with MUMPS,32,32,71874,196608,1,0.0,5.3096446453334165,15.928933936000249,0.020065880999993624,0.0050083989999762935,15.041407249999992,0.33527719200000705,0.18113059499999906,0.18116616799999008,15.578132924999984,0.0,1.0374999988016498e-05,287834112.0,14344.454250480778,0.0,0.0,568721532.0,37.8103938379835,771417216.0,2300.834158739864,551628972.0,3045.4765082619138,551628972.0,3044.8785117540833,2180033076.0,139.94187149998285,0.0,0.0,0.0,0.0,4911263880.0,1985400.0,49344.0,events,3
GMRES,36,36,101306,279936,3057,0.0005591954683041987,10.730719222666872,32.19215766800062,0.025398585000004914,0.0073991789998331114,2.1700000729651947e-07,0.475495259000013,0.511803580997594,31.21017845100002,31.712189841999987,21.858379876000246,1.2260000090691392e-05,409826304.0,16135.792761680255,0.0,0.0,0.0,0.0,1099092672.0,2311.469254838501,0.0,0.0,116585071944.0,3735.4823884470434,118094598756.0,3723.9496655508215,54169887708.0,2478.2206190622887,0.0,0.0,290358477384.0,1985400.0,0.0,events,3
GMRES + ILU PC,36,36,101306,279936,29,0.6545154996026995,0.5263617186668247,1.579085156000474,0.025463139999970963,0.00782234900012213,0.05748514000001137,0.472178681000031,0.2260620110000673,0.5376156009999704,1.0939874219999695,0.2208475709998936,1.315399995860389e-05,409826304.0,16094.88476285593,0.0,0.0,135109995.0,2350.346454752885,1099092672.0,2327.704990136833,514596780.0,2276.3523058274786,1586443959.0,2950.8889921520104,3231080766.0,2953.489867454884,497443554.0,2252.429364506072,0.0,0.0,7473594030.0,1985400.0,0.0,events,3
Scale-Splitting GMRES,36,36,101306,279936,4,0.1548443287444296,4.073871867999817,12.221615603999453,0.02528207700001417,0.011831464000039205,0.4410389139999893,0.47750735900004315,0.8547762889999717,0.9005633969999849,11.735448871000017,0.036966241000016,1.3615999989724514e-05,409826304.0,16210.151721307167,0.0,0.0,1155575808.0,2620.1221055973033,1099092672.0,2301.7292849719215,2355593070.0,2755.8006700862966,2443960599.0,2713.8129388130583,5528831295.0,471.12226858765814,89674539.0,2425.849547427914,0.0,0.0,13082554287.0,2728440.0,215040.0,events,3
Scale-Splitting GMRES + ILU PC,36,36,101306,279936,4,0.15484424398746663,0.8808156043332929,2.6424468129998786,0.02581924399999025,0.01386586700007797,0.44980953599997875,0.48669077799999627,1.1259340439999619,1.16083959300002,2.1466126290000034,0.42521357499956025,1.3217000059739803e-05,409826304.0,15872.901003614,0.0,0.0,1155575808.0,2569.033592031394,1099092672.0,2258.297715269239,5311589394.0,4717.496040114565,5399956923.0,4651.768388640676,8091322245.0,3769.3443780629073,1403920563.0,3301.683308209179,0.0,0.0,22871283909.0,2728632.0,0.0,events,3
Monolithic LU with MUMPS,36,36,101306,279936,1,0.0,10.097940093333213,30.293820279999636,0.025370568999960597,0.006945450000046094,29.01882938199998,0.4743951670000115,0.2877536949999353,0.28779321799999025,29.80671321699998,0.0,1.1948999883770739e-05,409826304.0,16153.611060147547,0.0,0.0,884821404.0,30.491285239398522,1099092672.0,2316.829403955486,897202860.0,3117.9542629337975,897202860.0,3117.5260704025013,3291551076.0,110.42985692641531,0.0,0.0,0.0,0.0,7479697176.0,3453048.0,0.0,events,3
GMRES,40,40,137842,384000,3652,0.0005595394229395678,18.099850616999902,54.299551850999705,0.03341960300008395,0.007939327000030971,3.7500001326407073e-07,0.6582123319999482,0.8492586689999939,52.94761659600006,53.64096915600004,36.81135417500013,1.2174000005416019e-05,562176000.0,16821.743813012614,0.0,0.0,0.0,0.0,1508477184.0,2291.7789756636143,0.0,0.0,189834700782.0,3585.330426305555,191906181018.0,3577.604656244997,88444922874.0,2402.653334988312,0.0,0.0,472256457858.0,3453048.0,0.0,events,3
GMRES + ILU PC,40,40,137842,384000,33,0.7537359338090786,0.7430320019999878,2.2290960059999634,0.032909553000024516,0.009302820999664618,0.0837900370000284,0.6622816029999967,0.332866489999617,0.7926253430000543,1.5729868849999775,0.32279711499967334,1.3803000172174507e-05,562176000.0,17082.456270359588,0.0,0.0,187770255.0,2240.961595469117,1508477184.0,2277.697549149659,820453830.0,2464.8135353034304,2469741690.0,3115.9004841456735,4728992181.0,3006.3773742144504,797012292.0,2469.081212206022,0.0,0.0,11074623432.0,3453048.0,0.0,events,3
Scale-Splitting GMRES,40,40,137842,384000,4,0.18358434432027715,6.903478479333292,20.710435437999877,0.033636619999981576,0.019143739000185178,0.5812464999999634,0.6639417100000173,1.2943714980000323,1.3488716109999928,20.054047819999994,0.052872154999874965,1.707400002715076e-05,562176000.0,16713.213158762916,0.0,0.0,1585152000.0,2727.1596474131024,1508477184.0,2272.002438286278,3623461350.0,2799.3982837220274,3744106647.0,2775.7324095688305,8088321573.0,403.32613373612685,122551167.0,2317.877283426216,0.0,0.0,19234245921.0,3864312.0,411264.0,events,3
Scale-Splitting GMRES + ILU PC,40,40,137842,384000,4,0.18358436446954796,1.366379138999946,4.099137416999838,0.03392993599999272,0.01684242100020583,0.6579888130000882,0.6613428210000052,2.0158203559999492,2.064704046999964,3.449445437999998,0.7615120699994691,1.4790999955494044e-05,562176000.0,16568.73151779952,0.0,0.0,1585152000.0,2409.0865508374345,1508477184.0,2280.930761022033,7956957405.0,3947.2552111683312,8077602702.0,3912.2327065406007,11770711896.0,3412.349059454816,2074175184.0,2723.7587764057976,0.0,0.0,33535252371.0,3864312.0,0.0,events,3
Monolithic LU with MUMPS,40,40,137842,384000,1,0.0,18.56354411466661,55.69063234399982,0.033250530000032086,0.011498777000042537,53.87813603399992,0.6576191529999278,0.4559413659999336,0.4559773060001362,55.025300644000026,0.0,1.2103000017305021e-05,562176000.0,16907.279372673383,0.0,0.0,1512194256.0,28.066937116119355,1508477184.0,2293.8461830356173,1421459100.0,3117.6357444176424,1421459100.0,3117.3900132643344,5005133592.0,90.96058601082376,0.0,0.0,0.0,0.0,11430899232.0,4852536.0,0.0,events,3
