approach,nx,ny,dofs,num_cells,iterations,residual,metadata,time_total,time_total_repeats,time_SNESJacobianEval,time_PCApply,time_SNESSolve,time_SNESFunctionEval,time_PCSetUp,time_KSPSolve,time_MatAssemblyEnd,time_MatAssemblyBegin,time_MatMult,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_PCApply,mflops_PCApply,flops_SNESSolve,mflops_SNESSolve,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_PCSetUp,mflops_PCSetUp,flops_KSPSolve,mflops_KSPSolve,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_MatMult,mflops_MatMult,flops_total,mem_rss_peak_kb,mem_rss_delta_kb
GMRES,16,16,578,256,292,0.0011675115838859125,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.014158679799993478,0.0707933989999674,0.008543752000000016,0.00021733500000520323,0.02609181699999974,0.008204634999999794,1.7719999991783197e-06,0.009214427000000303,4.9422000003129796e-05,5.528000001753242e-06,0.004766481000002987,3021520.0,353.6525872941998,0.0,0.0,88194550.0,3380.1612973140536,1433600.0,174.73050294132963,0.0,0.0,83733650.0,9087.233530635953,0.0,0.0,0.0,0.0,28038150.0,5882.358494659358,204421470.0,294492.0,0.0
GMRES + ILU PC,16,16,578,256,11,0.03678470128381338,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.012096640399977331,0.06048320199988666,0.00868498899999981,0.00028421600000116953,0.017771718999999297,0.00790275400000029,0.00041969100000027737,0.000669537999999914,4.5970000003947575e-05,5.3660000012278886e-06,0.00018000300000009517,3021520.0,347.9014193339872,1117800.0,3932.9242547759463,7941985.0,446.8889588002328,1433600.0,181.40511522944377,402665.0,959.4320583470551,3078420.0,4597.827158429238,0.0,0.0,0.0,0.0,1024650.0,5692.405126578214,18020640.0,294684.0,0.0
Scale-Splitting GMRES,16,16,578,256,4,0.018418075834936556,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.03588642599997911,0.17943212999989555,0.008305028000000547,0.0049547340000013484,0.135701466,0.008107003999999307,0.108272688,0.005250254999999537,9.503200000038348e-05,5.369000000143842e-06,0.00011947900000075506,3021520.0,363.8181593126237,924650.0,186.61950369076288,7249765.0,53.42436757462886,1433600.0,176.83474684360863,1187840.0,10.970818420985355,1485025.0,282.84816642241776,0.0,0.0,0.0,0.0,485425.0,4062.847864452601,15787825.0,295836.0,960.0
Scale-Splitting GMRES + ILU PC,16,16,578,256,4,0.018418103245734504,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.03352000139998381,0.16760000699991906,0.008146119000000507,0.002218698999999713,0.12701820099999983,0.0076323569999998675,0.10812827200000008,0.0024703239999999127,9.117399999425402e-05,5.422000002308636e-06,0.0005707490000008697,3021520.0,370.91527879715625,9714975.0,4378.680929680528,16002340.0,125.98462168425785,1433600.0,187.83188469826882,1187840.0,10.985471033884636,10275350.0,4159.515108139808,0.0,0.0,0.0,0.0,2877315.0,5041.296611988135,44512940.0,297756.0,1536.0
Monolithic LU with MUMPS,16,16,578,256,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.012999063400002342,0.06499531700001171,0.008523938999999814,0.0006384489999997633,0.021954766999999986,0.008129728000000114,0.004574448999999703,0.000650469000000431,4.566899999680629e-05,5.1980000006501825e-06,0.0,3021520.0,354.47461555040053,313140.0,490.4698730832315,4995160.0,227.52051980328477,1433600.0,176.3404630511599,221120.0,48.33806213601121,313140.0,481.40649285329897,0.0,0.0,0.0,0.0,0.0,0.0,10297680.0,297756.0,0.0
GMRES,32,32,2178,1024,996,0.0018718484348720114,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.033849721800015685,0.16924860900007843,0.010520852000000414,0.00150269999996544,0.12185153100000035,0.00808547000000015,9.67000000073881e-07,0.10311793899999921,0.00010836200000197138,5.151000000758188e-06,0.061640270999989255,12114640.0,1151.488491616413,0.0,0.0,1120002670.0,9191.535476070438,5734400.0,709.2228404780296,0.0,0.0,1102131850.0,10688.07096697315,0.0,0.0,0.0,0.0,376068630.0,6101.021684347649,2616052190.0,297756.0,0.0
GMRES + ILU PC,32,32,2178,1024,20,0.05809936206880237,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.013723819399956483,0.06861909699978241,0.010353002,0.0020741179999990145,0.023913291000000392,0.008151884999999748,0.0009993070000007265,0.004288013000000479,0.00011842600000067094,4.984999999457784e-06,0.0012227200000021199,12114640.0,1170.1572162354455,7674870.0,3700.3053828199004,44941090.0,1879.3352198992295,5734400.0,703.4446634122264,1796105.0,1797.3505639395044,25274165.0,5894.143744432952,0.0,0.0,0.0,0.0,7309400.0,5977.983512159224,104844670.0,297948.0,192.0
Scale-Splitting GMRES,32,32,2178,1024,4,0.043435340369002075,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.03993754359999002,0.1996877179999501,0.010212279999999296,0.011738208999998445,0.15499715399999991,0.007889868000000355,0.11046063899999936,0.012491088999999622,0.00023404300000118283,5.947999998312525e-06,0.00044387300000403584,12114640.0,1186.28161390021,4747050.0,404.4100765287642,30262415.0,195.24497204639005,5734400.0,726.8055688637303,4751360.0,43.014054988402044,6916705.0,553.73114385785,0.0,0.0,0.0,0.0,1905105.0,4292.0046949976195,66431675.0,303132.0,4224.0
Scale-Splitting GMRES + ILU PC,32,32,2178,1024,4,0.04343532734349036,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.0614669651999975,0.3073348259999875,0.010851058999999275,0.013999057999999565,0.2576894860000003,0.00953023699999811,0.22109446100000074,0.015021137999999823,0.0002604120000038179,6.370000002142717e-06,0.003989062000002264,12114640.0,1116.447712615037,87236050.0,6231.565723922475,112373015.0,436.07916156889644,5734400.0,601.7059177018513,4751360.0,21.490181067901037,89405705.0,5951.99278510064,0.0,0.0,0.0,0.0,19190880.0,4810.875338610708,330806050.0,307164.0,2880.0
Monolithic LU with MUMPS,32,32,2178,1024,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.01603139859998919,0.08015699299994594,0.01053579999999954,0.0018832130000001612,0.03446884900000047,0.008351953999999218,0.013598399999999344,0.001898805000000614,0.00011060300000398371,5.434000000192896e-06,0.0,12114640.0,1149.8547808425112,1705060.0,905.3994423359727,20761820.0,602.3357495923267,5734400.0,686.593819841505,1185940.0,87.21173079186207,1705060.0,897.964772580359,0.0,0.0,0.0,0.0,0.0,0.0,43206920.0,307548.0,0.0
GMRES,64,64,8450,4096,3307,0.0027198958159920716,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.29326308860004247,1.4663154430002123,0.01923971700000049,0.02455785799998189,1.4077385969999998,0.009469119000000248,1.23500000004384e-06,1.3787920080000005,0.00039967100000293243,6.1349999942450495e-06,0.8013980900000481,48517840.0,2521.7543480498575,0.0,0.0,14398521530.0,10228.121584990542,22937600.0,2422.3584052538995,0.0,0.0,14326981590.0,10390.96651769974,0.0,0.0,0.0,0.0,4946825070.0,6172.743773322074,33743783630.0,309852.0,1536.0
GMRES + ILU PC,64,64,8450,4096,42,0.13069543771045655,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.027145495200011284,0.1357274760000564,0.019977562000000226,0.019290809000008124,0.07464369000000026,0.010205802999999847,0.004003674999999873,0.04013213000000082,0.0003911609999969201,7.675999996514804e-06,0.01056442200000074,48517840.0,2428.616665036477,63699240.0,3302.0512514520865,306204780.0,4102.219223085018,22937600.0,2247.5056592803476,7570505.0,1890.888995735228,227094335.0,5658.666385262765,0.0,0.0,0.0,0.0,62251530.0,5892.563738933908,738275830.0,313884.0,2304.0
Scale-Splitting GMRES,64,64,8450,4096,4,0.09061734445944217,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.06296063400000093,0.3148031700000047,0.019520261999998567,0.04388250799999582,0.25365427200000124,0.009812971999998865,0.12348911999999945,0.04935744399999997,0.000852459000004302,7.396999999187415e-06,0.0032776319999987535,48517840.0,2485.511721103106,27523650.0,627.2123279736568,130465225.0,514.3427073840072,22937600.0,2337.4773717893677,19005440.0,153.90376091432253,36060665.0,730.6023585824262,0.0,0.0,0.0,0.0,7547665.0,2302.7798727870822,292058085.0,335772.0,15168.0
Scale-Splitting GMRES + ILU PC,64,64,8450,4096,4,0.0906173955933982,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.08269919419999497,0.4134959709999748,0.019022910000001225,0.10381320199999955,0.3552573289999996,0.009608682000000535,0.21712825799999802,0.10745279400000118,0.0008249830000037761,6.5789999954546374e-06,0.027110892000011155,48517840.0,2550.495166091669,744572060.0,7172.229019580797,845101665.0,2378.843716972271,22937600.0,2387.174432455848,19005440.0,87.53093758989294,753109075.0,7008.743532531986,0.0,0.0,0.0,0.0,141066365.0,5203.309614450973,2574310045.0,345180.0,7488.0
Monolithic LU with MUMPS,64,64,8450,4096,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.03655612599995948,0.18278062999979738,0.019769622000000098,0.008085284999999942,0.12562601399999807,0.009572738000001024,0.08803163600000019,0.008118743999999012,0.000387165000011791,6.43899999275277e-06,0.0,48517840.0,2454.161237883039,8886980.0,1099.154822619124,87569440.0,697.0645426989456,22937600.0,2396.1378656762095,7142520.0,81.135831668515,8886980.0,1094.6249814011971,0.0,0.0,0.0,0.0,0.0,0.0,183941360.0,345180.0,0.0
GMRES,128,128,33282,16384,11765,0.0038706599189517704,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",5.020539341599988,25.10269670799994,0.05379235899999557,0.6420065870001518,25.008242538999998,0.013754100000003433,1.3269999961096346e-06,24.940082708000002,0.0014152969999905451,6.940000028876625e-06,12.027671604000709,194192080.0,3610.030933947626,0.0,0.0,201930482805.0,8074.557118121847,91750400.0,6670.76726212381,0.0,0.0,201644207505.0,8085.145902115185,0.0,0.0,0.0,0.0,70055806630.0,5824.552659610165,473916439420.0,351516.0,6144.0
GMRES + ILU PC,128,128,33282,16384,74,0.185022012252616,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.11362992459999077,0.5681496229999539,0.054903845999987766,0.17078713400001533,0.47172335000000487,0.014285090000001333,0.016136731999999654,0.38569908299999867,0.0017392409999885672,9.133999924415548e-06,0.12767842399995288,194192080.0,3536.948577337246,443719430.0,2598.084642605222,1952686285.0,4139.473454091217,91750400.0,6422.808676738574,31069385.0,1925.38272309416,1635341600.0,4239.941633462493,0.0,0.0,0.0,0.0,437956840.0,3430.155434877248,4786716020.0,378204.0,2880.0
Scale-Splitting GMRES,128,128,33282,16384,4,0.18318999896293917,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.18586876700001084,0.9293438350000542,0.05425023400000839,0.18542173700000575,0.8333290609999935,0.0137776339999931,0.1445963810000066,0.20654694800000328,0.003872310999980755,1.087400002575123e-05,0.014635521999984746,194192080.0,3579.5620715658106,117890450.0,635.796276679235,534150675.0,640.9840961972694,91750400.0,6659.372719586392,76021760.0,525.7514709168034,151757385.0,734.7355478716519,0.0,0.0,0.0,0.0,30045585.0,2052.921993491678,1195808335.0,474588.0,61056.0
Scale-Splitting GMRES + ILU PC,128,128,33282,16384,4,0.18319361260373604,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.32906349960003356,1.6453174980001677,0.054729880999992986,1.234943940000008,1.5491457989999944,0.013986977000001843,0.22100492199999167,1.2521463150000045,0.003609014000076627,1.023899996965838e-05,0.2737105130000046,194192080.0,3548.1911608765404,7803728085.0,6319.095006855088,8205816730.0,5296.994469660005,91750400.0,6559.701928443002,76021760.0,343.98220325610157,7837595020.0,6259.328423611558,0.0,0.0,0.0,0.0,1380124010.0,5042.2762168436575,25589228085.0,509724.0,29376.0
Monolithic LU with MUMPS,128,128,33282,16384,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.1244692107999981,0.6223460539999905,0.05562414400000648,0.0365814469999961,0.5285254960000074,0.013696577000004595,0.4223328460000033,0.036639546999992945,0.00141165499998408,8.899000022211112e-06,0.0,194192080.0,3491.147297475308,45512900.0,1244.1525344802476,372504380.0,704.799262891179,91750400.0,6698.783206926024,40716180.0,96.40779869629102,45512900.0,1242.1796590446045,0.0,0.0,0.0,0.0,0.0,0.0,790188840.0,510108.0,0.0
GMRES,256,256,132098,65536,42560,0.0054863490668025,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",146.86460263540002,734.3230131770001,0.19943004099999928,16.402216465008223,734.06960944,0.03102044199980014,1.462999875911919e-06,733.83653889,0.008729099000504448,1.2797000294995087e-05,433.3111617580027,777011920.0,3896.162865453168,0.0,0.0,2902065324795.0,3953.392549527966,367001600.0,11830.959726568839,0.0,0.0,2900919990295.0,3953.0874200989324,0.0,0.0,0.0,0.0,1011227933100.0,2333.7223278470597,6815357261710.0,510876.0,0.0
GMRES + ILU PC,256,256,132098,65536,117,0.30634469502282397,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.7964378438000494,3.9821892190002472,0.20245807900005275,1.3549992560024293,3.7353979280001113,0.03152327799989507,0.07055441800025619,3.4288290899999083,0.010266463000789372,1.437800028725178e-05,1.260245401996599,777011920.0,3837.890410882529,2782267950.0,2053.335407879377,11900488915.0,3185.869121411486,367001600.0,11642.241013171968,125867465.0,1783.9770855957306,10629286950.0,3099.9757266992515,0.0,0.0,0.0,0.0,2759274000.0,2189.473570487541,29341198800.0,639516.0,51648.0
Scale-Splitting GMRES,256,256,132098,65536,4,0.3673723271310132,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.6720237336000536,3.3601186680002684,0.20260710999991716,0.8181149459999233,3.1160965569999917,0.03050962499992238,0.2372191270003441,0.8945131730001776,0.01885660300104064,1.754000049913884e-05,0.04569420199959495,777011920.0,3835.067387320799,560893250.0,685.5922297256901,2246616915.0,720.9715340666211,367001600.0,12029.043293745292,304087040.0,1281.8824681011447,695800825.0,777.854196005073,0.0,0.0,0.0,0.0,119892625.0,2623.80389094141,5071304175.0,1038492.0,245184.0
Scale-Splitting GMRES + ILU PC,256,256,132098,65536,4,0.36739017220136655,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",3.553459458399993,17.767297291999967,0.2033806330000516,16.865380688000187,17.521309602999736,0.031111373000385356,0.3264105719997583,16.931830622000007,0.017500845000313348,1.6786998457973823e-05,4.416830114019149,777011920.0,3820.481372972238,79324380520.0,4703.385116971581,80932682285.0,4619.100062654215,367001600.0,11796.380699606352,304087040.0,931.6090411441243,79459288095.0,4692.894103946226,0.0,0.0,0.0,0.0,13782386780.0,3120.4249256167445,254946838240.0,1124316.0,75456.0
Monolithic LU with MUMPS,256,256,132098,65536,1,0.0,"{'petsc_version': (3, 23, 4), 'firedrake_version': '0+untagged.40.ge298318.dirty', 'backend': 'events', 'repeats': 5}",0.5510144950000722,2.755072475000361,0.20323158599967428,0.17427049300044928,2.5099008769998363,0.030790057000103843,2.101012906999813,0.17433855299987044,0.008049772000049416,1.4214999055184308e-05,0.0,777011920.0,3823.2832567731148,213853300.0,1227.1343032205039,1561976040.0,622.3257875693797,367001600.0,11919.484267234786,202788240.0,96.51927378664982,213853300.0,1226.6552424589581,0.0,0.0,0.0,0.0,0.0,0.0,3336484400.0,1124508.0,0.0
