N,h,cond_monolithic,cond_macro,cond_micro
4,0.25,81.91800877610804,3.357638888888892,24.368707087045706
8,0.125,223.31832152613455,12.227926665771225,56.14918002821589
16,0.0625,893.0186669800956,49.24488971944212,216.4484381208243
32,0.03125,3572.7600097518143,197.36657107596258,857.8302139116884
64,0.015625,14291.955327022466,789.866593101203,3423.402852114696
