N,h,cond_monolithic,cond_macro,cond_micro,n_dofs,n0,n1
4,0.25,166.57575732316621,2.708398327330154,166.48362780804746,250,125,125
6,0.16666666666666666,342.944274630121,7.916883822409027,342.9164211488219,686,343,343
8,0.125,513.6891522282476,17.844990403097604,513.6774858752032,1458,729,729
10,0.1,830.6764577354642,34.05116456575793,809.0563387202741,2662,1331,1331
12,0.08333333333333333,1414.8600047114019,58.10076860490582,1377.9216734151566,4394,2197,2197
14,0.07142857142857142,2227.2950971302603,91.56084736998154,2169.0380823525784,6750,3375,3375
16,0.0625,3305.9989781340255,135.99903055684558,3219.4231249335476,9826,4913,4913
